"LogD","IDNUMBER","NEW_SMILES","AMW","SMILES_H"
2.471,"C276-0082","COc1cc2c(cc1OC)C(c1ccc(O)cc1)CC(=O)N2",299.326,"[H]Oc1c([H])c([H])c(C2([H])c3c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c3N([H])C(=O)C2([H])[H])c([H])c1[H]"
2.821,"8015-3842","N#Cc1c(C(F)(F)F)cc(=O)n2c1[nH]c1ccccc12",277.20500000000004,"[H]c1c([H])c([H])c2c(c1[H])n([H])c1c(C#N)c(C(F)(F)F)c([H])c(=O)n21"
2.54,"8002-0549","C=c1cc2c(=Cc3ccc(O)c(OC)c3)oc(O)c2c(=O)[nH]1",299.282,"[H]Oc1c([H])c([H])c(C([H])=c2oc(O[H])c3c(=O)n([H])c(=C([H])[H])c([H])c23)c([H])c1OC([H])([H])[H]"
1.864,"8016-2514","O=c1c(Cl)c(NC2CC2)cnn1-c1ccccc1",261.712,"[H]c1nn(-c2c([H])c([H])c([H])c([H])c2[H])c(=O)c(Cl)c1N([H])C1([H])C([H])([H])C1([H])[H]"
1.739,"8017-2020","COCc1cc(=O)n2c([nH]c3ccccc32)c1C#N",253.261,"[H]c1c([H])c([H])c2c(c1[H])n([H])c1c(C#N)c(C([H])([H])OC([H])([H])[H])c([H])c(=O)n21"
0.832,"8010-2998","O=C1CCN(C(=O)CCCl)c2ccccc2N1",252.70100000000002,"[H]c1c([H])c([H])c2c(c1[H])N([H])C(=O)C([H])([H])C([H])([H])N2C(=O)C([H])([H])C([H])([H])Cl"
1.021,"3454-1904","CCOC(=O)COn1c(=O)c(C)[n+]([O-])c2ccccc21",278.264,"[H]c1c([H])c([H])c2c(c1[H])n(OC([H])([H])C(=O)OC([H])([H])C([H])([H])[H])c(=O)c(C([H])([H])[H])[n+]2[O-]"
1.074,"Y600-3606","CC(=NCC1CCCO1)c1c(C)[nH]n(-c2ccccc2)c1=O",299.3740000000001,"[H]c1c([H])c([H])c(-n2c(=O)c(C(=NC([H])([H])C3([H])OC([H])([H])C([H])([H])C3([H])[H])C([H])([H])[H])c(C([H])([H])[H])n2[H])c([H])c1[H]"
2.993,"D479-0147","CCC(CC)C(=O)N1CC(C)C(=O)Nc2ccccc21",274.36400000000003,"[H]c1c([H])c([H])c2c(c1[H])N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])N2C(=O)C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]"
2.892,"D428-0166","CC1CC(=O)N(Cc2ccccc2)c2ccccc2N1",266.344,"[H]c1c([H])c([H])c(C([H])([H])N2C(=O)C([H])([H])C([H])(C([H])([H])[H])N([H])c3c([H])c([H])c([H])c([H])c32)c([H])c1[H]"
2.263,"C200-7765","COc1ccc(-c2noc(-c3ccc[nH]c3=O)n2)cc1OC",299.28600000000006,"[H]c1c([H])c(-c2noc(-c3c([H])c([H])c([H])n([H])c3=O)n2)c([H])c(OC([H])([H])[H])c1OC([H])([H])[H]"
2.302,"D479-0239","O=C1CN(C(=O)Oc2ccccc2)c2ccccc2N1",268.272,"[H]c1c([H])c([H])c(OC(=O)N2c3c([H])c([H])c([H])c([H])c3N([H])C(=O)C2([H])[H])c([H])c1[H]"
2.537,"Y044-5566","CC(C)C(=O)Nc1cc(Cl)ccc1N1CCCC1=O",280.755,"[H]c1c([H])c(N2C(=O)C([H])([H])C([H])([H])C2([H])[H])c(N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1Cl"
2.623,"2446-0033","Cc1cc(=O)n(-c2ccc(C(F)(F)F)cc2[N+](=O)[O-])[nH]1",287.197,"[H]c1c([H])c(C(F)(F)F)c([H])c([N+](=O)[O-])c1-n1c(=O)c([H])c(C([H])([H])[H])n1[H]"
0.914,"Y021-8776","Cc1nc2nnc3c(=O)[nH]c4ccccc4c3n2n1",252.23700000000002,"[H]c1c([H])c([H])c2c(c1[H])c1c(nnc3nc(C([H])([H])[H])nn31)c(=O)n2[H]"
1.059,"Y700-0241","CCOC(=O)c1nc2c(=O)[nH]c3cc(C)ccc3n2n1",272.264,"[H]c1c(C([H])([H])[H])c([H])c2c(c1[H])n1nc(C(=O)OC([H])([H])C([H])([H])[H])nc1c(=O)n2[H]"
1.536,"8017-0151","CC1(C(=O)O)CCC(C(=O)Nc2ccccc2N)C1(C)C",290.36300000000006,"[H]OC(=O)C1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])(C(=O)N([H])c2c([H])c([H])c([H])c([H])c2N([H])[H])C1(C([H])([H])[H])C([H])([H])[H]"
2.063,"8016-9972","COC(=O)Cn1c(=O)c2c(c3ccccc31)CCC2",257.289,"[H]c1c([H])c([H])c2c(c1[H])c1c(c(=O)n2C([H])([H])C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H]"
0.197,"T599-3553","CC(=O)NCC(=O)N1CCCN(C)c2ccccc21",261.325,"[H]c1c([H])c([H])c2c(c1[H])N(C(=O)C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])[H]"
1.122,"8019-4706","Cc1c(CCC(=O)O)c(=O)n2c([nH]c3ccccc32)c1C#N",295.29800000000006,"[H]OC(=O)C([H])([H])C([H])([H])c1c(C([H])([H])[H])c(C#N)c2n([H])c3c([H])c([H])c([H])c([H])c3n2c1=O"
1.899,"T599-3693","O=C(C1CC1)N1CCCN(C(=O)C2CC2)c2ccccc21",284.35900000000004,"[H]c1c([H])c([H])c2c(c1[H])N(C(=O)C1([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])N2C(=O)C1([H])C([H])([H])C1([H])[H]"
2.436,"G353-0279","COc1ccc(C2=Nc3ccccc3NC(=O)C2)cc1",266.3,"[H]c1c([H])c([H])c2c(c1[H])N=C(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])C([H])([H])C(=O)N2[H]"
1.455,"3454-1892","O=c1c(-c2ccccc2)[n+]([O-])c2ccccc2n1O",254.24499999999998,"[H]On1c(=O)c(-c2c([H])c([H])c([H])c([H])c2[H])[n+]([O-])c2c([H])c([H])c([H])c([H])c21"
1.649,"8019-5983","CCOC(=O)C(=O)Nc1cc2c(cc1[N+](=O)[O-])OCO2",282.208,"[H]c1c2c(c([H])c([N+](=O)[O-])c1N([H])C(=O)C(=O)OC([H])([H])C([H])([H])[H])OC([H])([H])O2"
-0.321,"F404-0068","COC(=O)CC1=Nc2ccccc2N(CC(N)=O)C(=O)C1",289.29100000000005,"[H]c1c([H])c([H])c2c(c1[H])N=C(C([H])([H])C(=O)OC([H])([H])[H])C([H])([H])C(=O)N2C([H])([H])C(=O)N([H])[H]"
0.97,"K844-0647","NNC(=O)c1c(O)c2cccc3c2n(c1=O)CCC3",259.265,"[H]Oc1c(C(=O)N([H])N([H])[H])c(=O)n2c3c(c([H])c([H])c([H])c13)C([H])([H])C([H])([H])C2([H])[H]"
1.692,"Z603-8387","CCNC(=O)N1C=CC(C(=O)Nc2ccc(F)cc2)CC1",291.3260000000001,"[H]C1=C([H])C([H])(C(=O)N([H])c2c([H])c([H])c(F)c([H])c2[H])C([H])([H])C([H])([H])N1C(=O)N([H])C([H])([H])C([H])([H])[H]"
1.813,"8006-4572","Cc1n[nH]c(SCC(=O)Nc2ccccc2[N+](=O)[O-])n1",293.30800000000005,"[H]c1c([H])c([H])c([N+](=O)[O-])c(N([H])C(=O)C([H])([H])Sc2nc(C([H])([H])[H])nn2[H])c1[H]"
2.066,"8020-7511","CC(=O)n1cc(Nc2ccc3c(c2)OCCO3)cc1O",274.27599999999995,"[H]Oc1c([H])c(N([H])c2c([H])c([H])c3c(c2[H])OC([H])([H])C([H])([H])O3)c([H])n1C(=O)C([H])([H])[H]"
2.78,"Z601-6458","Cc1cc2nc(C(=O)NC3CC3)c(=O)n(C)c2cc1C",271.32,"[H]c1c(C([H])([H])[H])c(C([H])([H])[H])c([H])c2c1nc(C(=O)N([H])C1([H])C([H])([H])C1([H])[H])c(=O)n2C([H])([H])[H]"
1.152,"C279-0861","COc1ccc2cc(CCNS(C)(=O)=O)c(=O)[nH]c2c1",296.348,"[H]c1c(OC([H])([H])[H])c([H])c2c(c1[H])c([H])c(C([H])([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])c(=O)n2[H]"
0.696,"F353-0079","Cc1nc2cc(C(=O)N3CCOCC3)ccc2n(C)c1=O",287.319,"[H]c1c(C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2nc(C([H])([H])[H])c(=O)n(C([H])([H])[H])c2c1[H]"
0.273,"C301-6635","COC(=O)c1cc2c(cc1[N+](=O)[O-])n(C)c(=O)c(=O)n2C",293.235,"[H]c1c(C(=O)OC([H])([H])[H])c([N+](=O)[O-])c([H])c2c1n(C([H])([H])[H])c(=O)c(=O)n2C([H])([H])[H]"
2.728,"1814-1808","O=C1Nc2ccccc2C1=Cc1cc([N+](=O)[O-])ccc1O",282.255,"[H]Oc1c([H])c([H])c([N+](=O)[O-])c([H])c1C([H])=C1C(=O)N([H])c2c([H])c([H])c([H])c([H])c21"
1.859,"K783-4441","COC(O)c1ccc2nc(CC(C)C)c(=O)[nH]c2c1",262.30899999999997,"[H]OC([H])(OC([H])([H])[H])c1c([H])c([H])c2nc(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(=O)n([H])c2c1[H]"
2.285,"Y509-8299","Cc1ccc(NC(=O)C2CCCO2)c([N+](=O)[O-])c1",250.25399999999996,"[H]c1c([H])c(C([H])([H])[H])c([H])c([N+](=O)[O-])c1N([H])C(=O)C1([H])OC([H])([H])C([H])([H])C1([H])[H]"
1.724,"C200-3145","CCOC(=O)CC(=O)Nc1cc2c(cc1C(C)=O)OCO2",293.27500000000003,"[H]c1c2c(c([H])c(N([H])C(=O)C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])c1C(=O)C([H])([H])[H])OC([H])([H])O2"
1.186,"6080-0271","CCOC(=O)COc1ccc(=O)n(-c2ccccc2)n1",274.276,"[H]c1c([H])c([H])c(-n2nc(OC([H])([H])C(=O)OC([H])([H])C([H])([H])[H])c([H])c([H])c2=O)c([H])c1[H]"
2.874,"S579-0051","O=C(Cc1c(O)[nH]c2c1CCCC2)Nc1cccc(F)c1",288.32199999999995,"[H]Oc1c(C([H])([H])C(=O)N([H])c2c([H])c([H])c([H])c(F)c2[H])c2c(n1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]"
2.109,"3736-0308","C=c1ccsc1=Cc1c(O)[nH]n(-c2ccccc2)c1=O",284.3400000000001,"[H]Oc1c(C([H])=c2sc([H])c([H])c2=C([H])[H])c(=O)n(-c2c([H])c([H])c([H])c([H])c2[H])n1[H]"
1.315,"G373-0384","CN(C)C(=O)c1ccc2c(c1)NC(=O)C1CCCCN21",273.33599999999996,"[H]c1c([H])c2c(c([H])c1C(=O)N(C([H])([H])[H])C([H])([H])[H])N([H])C(=O)C1([H])N2C([H])([H])C([H])([H])C([H])([H])C1([H])[H]"
1.709,"2321-0669","O=C(NN=Cc1ccco1)c1cc(=O)[nH]c2ccccc12",281.271,"[H]C(=NN([H])C(=O)c1c([H])c(=O)n([H])c2c([H])c([H])c([H])c([H])c12)c1oc([H])c([H])c1[H]"
2.136,"Y508-4392","C=c1[nH]n(-c2ccccc2)c(=O)c1=Cc1cnn(CC)c1C",294.358,"[H]C(c1c([H])nn(C([H])([H])C([H])([H])[H])c1C([H])([H])[H])=c1c(=C([H])[H])n([H])n(-c2c([H])c([H])c([H])c([H])c2[H])c1=O"
0.154,"P574-1930","Cc1[nH]c(=N)n(CC(=O)N2CCc3ccccc32)c(=O)c1C",298.34600000000006,"[H]N=c1n([H])c(C([H])([H])[H])c(C([H])([H])[H])c(=O)n1C([H])([H])C(=O)N1c2c([H])c([H])c([H])c([H])c2C([H])([H])C1([H])[H]"
2.495,"3772-8529","Cc1ccc(C=C(C#N)C(=O)Nc2ccccc2[N+](=O)[O-])o1",297.2700000000001,"[H]C(=C(C#N)C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[N+](=O)[O-])c1oc(C([H])([H])[H])c([H])c1[H]"
1.324,"5593-1885","CCNC(=S)Nc1c(C)n(C)n(-c2ccccc2)c1=O",290.39200000000005,"[H]c1c([H])c([H])c(-n2c(=O)c(N([H])C(=S)N([H])C([H])([H])C([H])([H])[H])c(C([H])([H])[H])n2C([H])([H])[H])c([H])c1[H]"
2.592,"8017-3959","O=c1[nH]c2ccccc2[nH]c1=NCc1ccccc1",251.289,"[H]c1c([H])c([H])c(C([H])([H])N=c2c(=O)n([H])c3c([H])c([H])c([H])c([H])c3n2[H])c([H])c1[H]"
-0.934,"8017-3908","O=C(O)COCC(=O)N1CC(=O)Nc2ccccc21",264.237,"[H]OC(=O)C([H])([H])OC([H])([H])C(=O)N1c2c([H])c([H])c([H])c([H])c2N([H])C(=O)C1([H])[H]"
1.062,"8020-1892","CCOC(=O)c1nc2cc(OC)c(OC)cc2[nH]c1=O",278.264,"[H]c1c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2c1nc(C(=O)OC([H])([H])C([H])([H])[H])c(=O)n2[H]"
2.978,"D015-0269","O=c1[nH]c2ccc(Cl)cc2c(O)c1Cc1ccccc1",285.72999999999996,"[H]Oc1c(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c(=O)n([H])c2c([H])c([H])c(Cl)c([H])c12"
1.157,"8016-2116","COc1cc(C#N)c(NC(=O)CN2CCCC2)cc1OC",289.335,"[H]c1c(C#N)c(N([H])C(=O)C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(OC([H])([H])[H])c1OC([H])([H])[H]"
2.719,"C301-0252","O=C(Cc1nc2ccccc2[nH]c1=O)c1ccc(Cl)cc1",298.72900000000004,"[H]c1c([H])c(C(=O)C([H])([H])c2nc3c([H])c([H])c([H])c([H])c3n([H])c2=O)c([H])c([H])c1Cl"
1.254,"4111-1460","COc1ccc(C=Nn2c(C)cc(C)c(C#N)c2=O)cc1O",297.314,"[H]Oc1c([H])c(C([H])=Nn2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(C#N)c2=O)c([H])c([H])c1OC([H])([H])[H]"
1.532,"Y600-3633","CC(=Nc1ccccn1)c1c(C)[nH]n(-c2ccccc2)c1=O",292.34200000000004,"[H]c1nc(N=C(c2c(C([H])([H])[H])n([H])n(-c3c([H])c([H])c([H])c([H])c3[H])c2=O)C([H])([H])[H])c([H])c([H])c1[H]"
1.936,"T583-0754","COc1ccc(N2CCN(Cc3cc[nH]c(=O)c3)CC2)cc1",299.3740000000001,"[H]c1c([H])c(N2C([H])([H])C([H])([H])N(C([H])([H])c3c([H])c([H])n([H])c(=O)c3[H])C([H])([H])C2([H])[H])c([H])c([H])c1OC([H])([H])[H]"
0.477,"Z601-1303","CN(CC#N)C(=O)c1nc2ccccc2n(C)c1=O",256.26500000000004,"[H]c1c([H])c([H])c2c(nc(C(=O)N(C([H])([H])[H])C([H])([H])C#N)c(=O)n2C([H])([H])[H])c1[H]"
0.23,"G761-0093","CC(C)NC(=O)Cn1c(=O)c(=O)n(C)c2ccccc21",275.308,"[H]c1c([H])c([H])c2c(c1[H])n(C([H])([H])[H])c(=O)c(=O)n2C([H])([H])C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H]"
1.449,"Y600-2111","C=C(OCC)c1c(C)[nH]n(-c2ccc(F)cc2)c1=O",262.284,"[H]C([H])=C(OC([H])([H])C([H])([H])[H])c1c(C([H])([H])[H])n([H])n(-c2c([H])c([H])c(F)c([H])c2[H])c1=O"
2.525,"8009-8879","N#Cc1c2c3c(cccc3[nH]c1=O)C(=O)c1ccccc1-2",272.263,"[H]c1c([H])c([H])c2c(c1[H])C(=O)c1c([H])c([H])c([H])c3c1c-2c(C#N)c(=O)n3[H]"
1.867,"L150-0601","Nc1ccc(SCc2nc3ccccc3[nH]c2=O)cc1",283.35600000000005,"[H]c1c([H])c(N([H])[H])c([H])c([H])c1SC([H])([H])c1nc2c([H])c([H])c([H])c([H])c2n([H])c1=O"
2.175,"K844-0790","CCCn1c(=O)c(CC(=O)OCC)c(O)c2ccccc21",289.33099999999996,"[H]Oc1c(C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])c(=O)n(C([H])([H])C([H])([H])C([H])([H])[H])c2c([H])c([H])c([H])c([H])c12"
2.739,"Y204-1342","CCCC(=O)Nc1ccc([N+](=O)[O-])c(NC(=O)CCC)c1",293.32300000000004,"[H]c1c([H])c([N+](=O)[O-])c(N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H]"
2.512,"G933-0848","CCn1c(=O)c(C(=O)NCc2ccco2)nc2ccccc21",297.314,"[H]c1oc(C([H])([H])N([H])C(=O)c2nc3c([H])c([H])c([H])c([H])c3n(C([H])([H])C([H])([H])[H])c2=O)c([H])c1[H]"
0.949,"Y509-4527","CCOC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O",275.30800000000005,"[H]c1c([H])c([H])c(-n2c(=O)c(N([H])C(=O)OC([H])([H])C([H])([H])[H])c(C([H])([H])[H])n2C([H])([H])[H])c([H])c1[H]"
2.913,"3772-6146","Cc1ccc(C=C(C#N)C(=O)Nc2ccccc2Cl)o1",286.7180000000001,"[H]C(=C(C#N)C(=O)N([H])c1c([H])c([H])c([H])c([H])c1Cl)c1oc(C([H])([H])[H])c([H])c1[H]"
2.951,"8008-2430","CCOC(=O)c1cc(O)n(-c2ccc(OC)cc2)c1C",275.30400000000003,"[H]Oc1c([H])c(C(=O)OC([H])([H])C([H])([H])[H])c(C([H])([H])[H])n1-c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H]"
1.614,"S576-0242","Cn1ncc(N2CCC(C(=O)Nc3ccccc3)C2)cc1=O",298.3460000000001,"[H]c1nn(C([H])([H])[H])c(=O)c([H])c1N1C([H])([H])C([H])([H])C([H])(C(=O)N([H])c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H]"
2.52,"8020-6107","O=C(Nc1ccc2c(c1)OCO2)c1cc2c([nH]c1=O)CCC2",298.2980000000001,"[H]c1c([H])c(N([H])C(=O)c2c([H])c3c(n([H])c2=O)C([H])([H])C([H])([H])C3([H])[H])c([H])c2c1OC([H])([H])O2"
1.497,"8015-7513","O=C(Nc1ccc2c(c1)OCCO2)c1ccc(=O)[nH]n1",273.24799999999993,"[H]c1c([H])c(N([H])C(=O)c2nn([H])c(=O)c([H])c2[H])c([H])c2c1OC([H])([H])C([H])([H])O2"
2.347,"5697-0288","O=c1[nH]c2ccccc2nc1CC(O)NC1CCCCC1",287.36300000000006,"[H]OC([H])(N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])c1nc2c([H])c([H])c([H])c([H])c2n([H])c1=O"
0.473,"5176-4931","Cc1cc2nc(CC(=O)NC(N)O)c(=O)[nH]c2cc1C",276.29600000000005,"[H]OC([H])(N([H])[H])N([H])C(=O)C([H])([H])c1nc2c([H])c(C([H])([H])[H])c(C([H])([H])[H])c([H])c2n([H])c1=O"
2.159,"8015-3677","N#Cc1c2c(c(=O)n(-c3ccccc3)c1N)CCCC2",265.316,"[H]c1c([H])c([H])c(-n2c(N([H])[H])c(C#N)c3c(c2=O)C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H]"
1.062,"1712-1755","O=C(N=c1[nH]ccs1)c1c(O)[nH]c2ccccc2c1=O",287.30000000000007,"[H]Oc1c(C(=O)N=c2sc([H])c([H])n2[H])c(=O)c2c([H])c([H])c([H])c([H])c2n1[H]"
2.156,"C202-3358","CC1(C)CC(=O)c2cc(C#N)c(=O)n(-c3ccccc3)c2C1",292.3380000000001,"[H]c1c([H])c([H])c(-n2c3c(c([H])c(C#N)c2=O)C(=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C3([H])[H])c([H])c1[H]"
1.675,"Y510-2228","N#CC(=Cc1cccs1)C(=O)Nc1ccccc1C(=O)O",298.32300000000004,"[H]OC(=O)c1c([H])c([H])c([H])c([H])c1N([H])C(=O)C(C#N)=C([H])c1sc([H])c([H])c1[H]"
